CarType,Fueltype,VehicleChassis
Volkswagen Polo,Benzine,Hatchback (5-deurs)
Kia Rio,Benzine,Hatchback (5-deurs)
Opel Corsa,Benzine,Hatchback (5-deurs)
Mazda Mazda3,Benzine,Hatchback (5-deurs)
Opel Crossland,Benzine,SUV (5-deurs)
Audi A3 Limousine,Benzine,Sedan (4-deurs)
Opel Astra Sports Tourer,Benzine,Stationwagen (5-deurs)
Ford Fiesta,Benzine,Hatchback (5-deurs)
Opel Mokka-e,Volledig elektrisch,SUV (5-deurs)
Nissan Juke,Benzine,SUV (5-deurs)
Opel Corsa-e,Volledig elektrisch,Hatchback (5-deurs)
Ford EcoSport,Benzine,SUV (5-deurs)
Opel Crossland X,Benzine,SUV (5-deurs)
Mercedes-Benz A-klasse,Benzine,Hatchback (5-deurs)
Opel Grandland X,Benzine,SUV (5-deurs)
Mazda CX-30,Benzine,SUV (5-deurs)
Peugeot 508,Benzine,Hatchback (5-deurs)
Ford Puma,Benzine hybride,SUV (5-deurs)
Mercedes-Benz B-Klasse,Benzine,Mini MPV (5-deurs)
Renault Grand Scénic,Benzine,Mini MPV (5-deurs)
Hyundai Tucson,Benzine,SUV (5-deurs)
Peugeot 508 SW,Benzine,Stationwagen (5-deurs)
Kia ProCeed,Benzine,Stationwagen (5-deurs)
Seat Tarraco,Benzine,SUV (5-deurs)
Kia Sportage,Benzine hybride,SUV (5-deurs)
Volvo XC40,Benzine,SUV (5-deurs)